Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
signNationalPark,blocks,Sign,KgNone,Navezgane National Park,Parc national de Navezgane,Navezgane Nationalpark,,Parque nacional de Navezgane,
signNoHazardousWaste,blocks,Sign,KgNone,No Hazardous Waste,DÃ©chets dangereux interdits,Kein SondermÃ¼ll,,Sin residuos peligrosos,
signRoadPrivate,blocks,Sign,KgNone,Sign Road Private,Panneau voie privÃ©e,StraÃŸenschild â€“ PrivatstraÃŸe,,SeÃ±al de trÃ¡fico Carretera privada,
signRoadRoughSurface,blocks,Sign,KgNone,Sign Road Rough Surface,Panneau de chaussÃ©e endommagÃ©e,StraÃŸenschild â€“ Unebene Fahrbahn,,SeÃ±al de trÃ¡fico Suelo irregular,
signRoadSlow,blocks,Sign,KgNone,Sign Road Slow,Panneau ralentir,StraÃŸenschild â€“ Langsam fahren,,SeÃ±al de trÃ¡fico Reducir velocidad,
signRoadSpeed25,blocks,Sign,KgNone,Sign Road Speed 25,Panneau de limitation de vitesse 25,StraÃŸenschild â€“ Tempolimit 25,,SeÃ±al de trÃ¡fico Velocidad 25,
signRoadSpeed25noTrucks,blocks,Sign,KgNone,"Sign Road Speed 25, no Trucks",Panneau de limitation de vitesse 25 (interdiction aux camions),StraÃŸenschild â€“ Tempolimit 25 (keine LKW),,SeÃ±al de trÃ¡fico Velocidad 25 Camiones no,
signRoadSpeed35,blocks,Sign,KgNone,Sign Road Speed 35,Panneau de limitation de vitesse 35,StraÃŸenschild â€“ Tempolimit 35,,SeÃ±al de trÃ¡fico Velocidad 35,
signRoadSpeed45,blocks,Sign,KgNone,Sign Road Speed 45,Panneau de limitation de vitesse 45,StraÃŸenschild â€“ Tempolimit 45,,SeÃ±al de trÃ¡fico Velocidad 45,
signRoadSpeed55,blocks,Sign,KgNone,Sign Road Speed 55,Panneau de limitation de vitesse 55,StraÃŸenschild â€“ Tempolimit 55,,SeÃ±al de trÃ¡fico Velocidad 55,
signRoadSpeed65,blocks,Sign,KgNone,Sign Road Speed 65,Panneau de limitation de vitesse 65,StraÃŸenschild â€“ Tempolimit 65,,SeÃ±al de trÃ¡fico Velocidad 65,
signRoadStop,blocks,Sign,KgNone,Sign Road Stop,Panneau stop,StraÃŸenschild â€“ Stop,,SeÃ±al de trÃ¡fico Stop,
signRoadStop4way,blocks,Sign,KgNone,Sign Road Stop 4way,Panneau stop (croisement),StraÃŸenschild â€“ Stop (Kreuzung),,SeÃ±al de trÃ¡fico Stop4 Intersecciones,
signRoadWork,blocks,Sign,KgNone,Road Work Ahead,Travaux sur la chaussÃ©e,"Achtung, Bauarbeiten!",,Obras viales mÃ¡s adelante,
signSchoolZone,blocks,Sign,KgNone,School Zone,Endroit frÃ©quentÃ© par les enfants,"Achtung, Schule!",,Zona escolar,
signShopBookStore,blocks,Sign,KgNone,Sign Shop Book Store,Panneau de librairie,Buchladenschild,,Letrero de tienda LibrerÃ­a,
signShopBookStoreLarge,blocks,Sign,KgNone,Sign Shop Book Store Large,Grand panneau de librairie,GroÃŸes Buchladenschild,,Letrero de tienda LibrerÃ­a Enorme,
signShopBookStoreLargeLit,blocks,Sign,GrChanged,Sign Shop Book Store Large Lit,Grand panneau Ã©clairÃ© de librairie,"GroÃŸes Buchladenschild, erleuchtet",,Letrero de tienda LibrerÃ­a Enorme Encendido,
signShopBookStoreLargeWall,blocks,Sign,GrChanged,Sign Shop Book Store Large Wall,Grand panneau mural de librairie,"GroÃŸes Buchladenschild, Wand",,Letrero de tienda LibrerÃ­a Enorme Pared,
signShopBookStoreLargeWallLit,blocks,Sign,GrChanged,Sign Shop Book Store Large Wall Lit,Grand panneau mural Ã©clairÃ© de librairie,"GroÃŸes Buchladenschild, erleuchtet, Wand",,Letrero de tienda LibrerÃ­a Enorme Pared Encendido,
signShopBookStoreLit,blocks,Sign,GrChanged,Sign Shop Book Store Lit,Panneau Ã©clairÃ© de librairie,"Buchladenschild, erleuchtet",,Letrero de tienda LibrerÃ­a Encendido,
signShopBookStoreWall,blocks,Sign,GrChanged,Sign Shop Book Store Wall,Panneau mural de librairie,"Buchladenschild, Wand",,Letrero de tienda LibrerÃ­a Pared,
signShopBookStoreWallLit,blocks,Sign,GrChanged,Sign Shop Book Store Wall Lit,Panneau mural Ã©clairÃ© de librairie,"Buchladenschild, erleuchtet, Wand",,Letrero de tienda LibrerÃ­a Pared Encendido,
signShopColdBeer,blocks,Sign,EnChanged KgNone,Sign (C)old Beer,Panneau biÃ¨re fraÃ®che,Bierladenschild,,Letrero de tienda Cerveza frÃ­a,
signShopGas,blocks,Sign,KgNone,Sign Shop Gas,Panneau de station essence,Tankstellenschild,,Letrero de tienda Gas,
signShopGasLarge,blocks,Sign,KgNone,Sign Shop Gas Large,Grand panneau de station essence,GroÃŸes Tankstellenschild,,Letrero de tienda Gas Enorme,
signShopGasLargeLit,blocks,Sign,GrChanged,Sign Shop Gas Large Lit,Grand panneau Ã©clairÃ© de station essence,"GroÃŸes Tankstellenschild, erleuchtet",,Letrero de tienda Gas Enorme Encendido,
signShopGasLargeWall,blocks,Sign,GrChanged,Sign Shop Gas Large Wall,Grand panneau mural de station essence,"GroÃŸes Tankstellenschild, Wand",,Letrero de tienda Gas Enorme Pared,
signShopGasLargeWallLit,blocks,Sign,GrChanged,Sign Shop Gas Large Wall Lit,Grand panneau mural Ã©clairÃ© de station essence,"GroÃŸes Tankstellenschild, erleuchtet, Wand",,Letrero de tienda Gas Enorme Pared Encendido,
signShopGasLit,blocks,Sign,GrChanged,Sign Shop Gas Lit,Panneau Ã©clairÃ© de station essence,"Tankstellenschild, erleuchtet",,Letrero de tienda Gas Encendido,
signShopGasWall,blocks,Sign,GrChanged,Sign Shop Gas Wall,Panneau mural de station essence,"Tankstellenschild, Wand",,Letrero de tienda Gas Pared,
signShopGasWallLit,blocks,Sign,GrChanged,Sign Shop Gas Wall Lit,Panneau mural Ã©clairÃ© de station essence,"Tankstellenschild, erleuchtet, Wand",,Letrero de tienda Gas Pared Encendido,
signShopGrocery,blocks,Sign,KgNone,Sign Shop Grocery,Panneau d'Ã©picerie,Lebensmittelladenschild,,Letrero de tienda Comestibles,
signShopGroceryLarge,blocks,Sign,KgNone,Sign Shop Grocery Large,Grand panneau d'Ã©picerie,GroÃŸes Lebensmittelladenschild,,Letrero de tienda Comestibles Enorme,
signShopGroceryLargeLit,blocks,Sign,GrChanged,Sign Shop Grocery Large Lit,Grand panneau Ã©clairÃ© d'Ã©picerie,"GroÃŸes Lebensmittelladenschild, erleuchtet",,Letrero de tienda Comestibles Enorme Encendido,
signShopGroceryLargeWall,blocks,Sign,GrChanged,Sign Shop Grocery Large Wall,Grand panneau mural d'Ã©picerie,"GroÃŸes Lebensmittelladenschild, Wand",,Letrero de tienda Comestibles Enorme Pared,
signShopGroceryLargeWallLit,blocks,Sign,GrChanged,Sign Shop Grocery Large Wall Lit,Grand panneau mural Ã©clairÃ© d'Ã©picerie,"GroÃŸes Lebensmittelladenschild, erleuchtet, Wand",,Letrero de tienda Comestibles Enorme Pared Encendido,
signShopGroceryLit,blocks,Sign,GrChanged,Sign Shop Grocery Lit,Panneau Ã©clairÃ© d'Ã©picerie,"Lebensmittelladenschild, erleuchtet",,Letrero de tienda Comestibles Encendido,
signShopGroceryWall,blocks,Sign,GrChanged,Sign Shop Grocery Wall,Panneau mural d'Ã©picerie,"Lebensmittelladenschild, Wand",,Letrero de tienda Comestibles Pared,
signShopGroceryWallLit,blocks,Sign,GrChanged,Sign Shop Grocery Wall Lit,Panneau mural Ã©clairÃ© d'Ã©picerie,"Lebensmittelladenschild, erleuchtet, Wand",,Letrero de tienda Comestibles Pared Encendido,
signShopGunStore,blocks,Sign,KgNone,Sign Shop Gun Store,Panneau d'armurerie,Waffenladenschild,,Letrero de tienda Tienda de armas,
signShopGunStoreLarge,blocks,Sign,KgNone,Sign Shop Gun Store Large,Grand panneau d'armurerie,GroÃŸes Waffenladenschild,,Letrero de tienda Tienda de armas Enorme,
signShopGunStoreLargeLit,blocks,Sign,GrChanged,Sign Shop Gun Store Large Lit,Grand panneau Ã©clairÃ© d'armurerie,"GroÃŸes Waffenladenschild, erleuchtet",,Letrero de tienda Tienda de armas Enorme Encendido,
signShopGunStoreLargeWall,blocks,Sign,GrChanged,Sign Shop Gun Store Large Wall,Grand panneau mural d'armurerie,"GroÃŸes Waffenladenschild, Wand",,Letrero de tienda Tienda de armas Enorme Pared,
signShopGunStoreLargeWallLit,blocks,Sign,GrChanged,Sign Shop Gun Store Large Wall Lit,Grand panneau mural Ã©clairÃ© d'armurerie,"GroÃŸes Waffenladenschild, erleuchtet, Wand",,Letrero de tienda Tienda de armas Enorme Pared Encendido,
signShopGunStoreLit,blocks,Sign,GrChanged,Sign Shop Gun Store Lit,Panneau Ã©clairÃ© d'armurerie,"Waffenladenschild, erleuchtet",,Letrero de tienda Tienda de armas Encendido,
signShopGunStoreWall,blocks,Sign,GrChanged,Sign Shop Gun Store Wall,Panneau mural d'armurerie,"Waffenladenschild, Wand",,Letrero de tienda Tienda de armas Pared,
signShopGunStoreWallLit,blocks,Sign,GrChanged,Sign Shop Gun Store Wall Lit,Panneau mural Ã©claire d'armurerie,"Waffenladenschild, erleuchtet, Wand",,Letrero de tienda Tienda de armas Pared Encendido,
signShopOpen,blocks,Sign,New,Shop Sign: Open,,Ladenschild: GeÃ¶ffnet,,,
signShopPharmacy,blocks,Sign,KgNone,Sign Shop Pharmacy,Panneau de pharmacie,Apothekenschild,,Letrero de tienda Farmacia,
signShopPharmacyLarge,blocks,Sign,KgNone,Sign Shop Pharmacy Large,Grand panneau de pharmacie,GroÃŸes Apothekenschild,,Letrero de tienda Farmacia Enorme,
signShopPharmacyLargeLit,blocks,Sign,GrChanged,Sign Shop Pharmacy Large Lit,Grand panneau Ã©clairÃ© de pharmacie,"GroÃŸes Apothekenschild, erleuchtet",,Letrero de tienda Farmacia Enorme Encendido,
signShopPharmacyLargeWall,blocks,Sign,GrChanged,Sign Shop Pharmacy Large Wall,Grand panneau mural de pharmacie,"GroÃŸes Apothekenschild, Wand",,Letrero de tienda Farmacia Enorme Pared,
signShopPharmacyLargeWallLit,blocks,Sign,GrChanged,Sign Shop Pharmacy Large Wall Lit,Grand panneau mural Ã©clairÃ© de pharmacie,"GroÃŸes Apothekenschild, erleuchtet, Wand",,Letrero de tienda Farmacia Enorme Pared Encendido,
signShopPharmacyLit,blocks,Sign,GrChanged,Sign Shop Pharmacy Lit,Panneau Ã©clairÃ© de pharmacie,"Apothekenschild, erleuchtet",,Letrero de tienda Farmacia Encendido,
signShopPharmacyWall,blocks,Sign,GrChanged,Sign Shop Pharmacy Wall,Panneau mural de pharmacie,"Apothekenschild, Wand",,Letrero de tienda Farmacia Pared,
signShopPharmacyWallLit,blocks,Sign,GrChanged,Sign Shop Pharmacy Wall Lit,Panneau mural Ã©clairÃ© de pharmacie,"Apothekenschild, erleuchtet, Wand",,Letrero de tienda Farmacia Pared Encendido,
signShopToolStore,blocks,Sign,KgNone,Sign Shop Tool Store,Panneau de magasin de jouets,Werkzeugladenschild,,Letrero de tienda Tienda de herramientas,
signShopToolStoreLarge,blocks,Sign,KgNone,Sign Shop Tool Store Large,Grand panneau de magasin de jouets,GroÃŸes Werkzeugladenschild,,Letrero de tienda Tienda de herramientas Enorme,
signShopToolStoreLargeLit,blocks,Sign,GrChanged,Sign Shop Tool Store Large Lit,Grand panneau Ã©clairÃ© de magasin de jouets,"GroÃŸes Werkzeugladenschild, erleuchtet",,Letrero de tienda Tienda de herramientas Enorme Encendido,
signShopToolStoreLargeWall,blocks,Sign,GrChanged,Sign Shop Tool Store Large Wall,Grand panneau mural de magasin de jouets,"GroÃŸes Werkzeugladenschild, Wand",,Letrero de tienda Tienda de herramientas Enorme Pared,
signShopToolStoreLargeWallLit,blocks,Sign,GrChanged,Sign Shop Tool Store Large Wall Lit,Grand panneau mural Ã©clairÃ© de magasin de jouets,"GroÃŸes Werkzeugladenschild, erleuchtet, Wand",,Letrero de tienda Tienda de herramientas Enorme Pared Encendido,
signShopToolStoreLit,blocks,Sign,GrChanged,Sign Shop Tool Store Lit,Panneau Ã©clairÃ© de magasin de jouets,"Werkzeugladenschild, erleuchtet",,Letrero de tienda Tienda de herramientas Encendido,
signShopToolStoreWall,blocks,Sign,GrChanged,Sign Shop Tool Store Wall,Panneau mural de magasin de jouets,"Werkzeugladenschild, Wand",,Letrero de tienda Tienda de herramientas Pared,
signShopToolStoreWallLit,blocks,Sign,GrChanged,Sign Shop Tool Store Wall Lit,Panneau mural Ã©clairÃ© de magasin de jouets,"Werkzeugladenschild, erleuchtet, Wand",,Letrero de tienda Tienda de herramientas Pared Encendido,
signShopTraderJoel1x3Wall,blocks,Sign,New,Trader Joel Sign 3x1m,,HÃ¤ndler Joel Schild 3x1m,,,
signShopTraderJoel2x5Wall,blocks,Sign,New,Trader Joel Sign 2x5m,,HÃ¤ndler Joel Schild 2x5m,,,
signSpillwayLake,blocks,Sign,KgNone,Sign Spillway Lake,Panneau Spillway Lake,Schild â€“ Hochwasserentlastung,,SeÃ±al Lago vertedero,
signYardSign01,blocks,Sign,New,Yard Sign: Condemned,,,,,
sleeperAnimalDesc,blocks,SleeperSpawn,New,Animal sleepers are very specific. They randomly 'use up' a spawn of the assigned group but the spawned animal type is exactly what you place.,,,,,
sleeperBack,blocks,SleeperSpawn,New,Sleeper Back,,,,,
sleeperBearAnimal,blocks,SleeperSpawn,New,Sleeper Bear (alive),,,,,
sleeperBoarAnimal,blocks,SleeperSpawn,New,Sleeper Boar (alive),,,,,
sleeperGraceAnimal,blocks,SleeperSpawn,New,Sleeper Grace (alive),,,,,
sleeperGroupDesc,blocks,SleeperSpawn,New,"XS 1-2, S 3-4, M 5-6, L 7-8, XL 9-10 spawns. Abandoned: 1, 35% empty",,,,,
sleeperIdle,blocks,SleeperSpawn,New,Sleeper Idle,,,,,
sleeperSideLeft,blocks,SleeperSpawn,New,Sleeper Left Side,,,,,
sleeperSideRight,blocks,SleeperSpawn,New,Sleeper Right Side,,,,,
sleeperSit,blocks,SleeperSpawn,New,Sleeper Sitting,,,,,
sleeperSnakeAnimal,blocks,SleeperSpawn,New,Sleeper Snake (alive),,,,,
sleeperStomach,blocks,SleeperSpawn,New,Sleeper Stomach,,,,,
sleeperCrawlerOnly,blocks,SleeperSpawn,New,Sleeper Crawler Only,,,,,
sleeperCrawlerOnlyDesc,blocks,SleeperSpawn,New,When randomly selected this spawn block will always spawn a crawler no matter which volume it is in.,,,,,
sleeperVultureAnimal,blocks,SleeperSpawn,New,Sleeper Vulture (zombie),,,,,
sleeperWolfAnimal,blocks,SleeperSpawn,New,Sleeper Wolf (alive),,,,,
sleeperZombieBearAnimal,blocks,SleeperSpawn,New,Sleeper Zombie Bear,,,,,
sleeperZombieDogAnimal,blocks,SleeperSpawn,New,Sleeper Zombie Dog,,,,,
air,blocks,Terrain,KgNone,Air,Air,Luft,,Aire,
terrainBlockGroupDesc,blocks,Terrain,New,A terrain block from the creative menu.,,,,,
terrainFiller,blocks,Terrain,New,Terrain Filler (POI),,,,,
terrainFillerDesc,blocks,Terrain,New,Used for building prefabs. When built into the game world this block will be replaced with the current biome's top terrain layer. (like desertGround),,,,,
terrAsphalt,blocks,Terrain,KgNone,Asphalt,Asphalte,Asphalt,,Asfalto,
terrAsphaltDesc,blocks,Terrain,KgNone,Asphalt is made in a cement mixer and is a common material for building or repairing roads.,L'asphalte se prÃ©pare dans une bÃ©tonniÃ¨re et reprÃ©sente un matÃ©riau commun pour la construction ou la rÃ©paration des routes.,"Asphalt wird in einem Zementmischer hergestellt und dient gewÃ¶hnlich dazu, StraÃŸen zu bauen oder zu reparieren.",,El asfalto se hace en un mezclador de cemento y es un material comÃºn para construir o reparar carreteras.,
terrBedrock,blocks,Terrain,New,Bedrock,,,,,
terrBedrockDesc,blocks,Terrain,New,Indestructible,,,,,
terrBurntForestGround,blocks,Terrain,KgNone,Burnt Forest Ground,Sol de forÃªt brÃ»lÃ©e,Verbrannter Waldboden,,Superficie forestal quemada,
terrBurntForestGroundDesc,blocks,Terrain,KgNone,Replace missing pieces of terrain in the proper shade of soot.,Remplacez les morceaux de terrain manquants par de la suie.,Ersetze fehlende TerrainstÃ¼cke in der richtigen RuÃŸfarbe.,,Reemplaza las piezas de terreno que falten con el tono de hollÃ­n correspondiente.,
terrConcrete,blocks,Terrain,New,Concrete Terrain (POI),,,,,
terrDesertGround,blocks,Terrain,KgNone,Desert Ground,Terrain dÃ©sert,WÃ¼stenboden,,Suelo desierto,
terrDesertGroundDesc,blocks,Terrain,KgNone,Replace missing pieces of terrain in the proper shade of sand.,Remplacez les morceaux de terrain manquants par du sable de la bonne couleur.,Ersetze fehlende TerrainstÃ¼cke in der richtigen Sandfarbe.,,Reemplaza las piezas de terreno que falten con el tono de arena correspondiente.,
terrDestroyedStone,blocks,Terrain,KgNone,Destroyed Stone,Pierre dÃ©truite,ZerstÃ¶rter Stein,,Piedra destruida,
terrDestroyedStoneDesc,blocks,Terrain,New,Destroyed stone can be crafted quickly to fill a hole but it is not very stable.,,,,,
terrDestroyedWoodDebris,blocks,Terrain,KgNone,Wood Debris (Terrain),DÃ©bris de bois,HolztrÃ¼mmer (Terrain),,Escombros de madera,
terrDirt,blocks,Terrain,KgNone,Dirt,Terre,Erde,,Suciedad,
terrFertileDirt,blocks,Terrain,KgNone,Fertile Dirt,Terre fertile,Fruchtbare Erde,,Tierra fÃ©rtil,
terrFertileDirtDesc,blocks,Terrain,KgNone,Replace missing pieces of terrain. Eventually grass will start growing here.,Remplacez les morceaux de terrain manquants. De l'herbe finira par y pousser.,Ersetze fehlende TerrainstÃ¼cke. Irgendwann wird hier Gras wachsen.,,"Reemplaza las piezas de terreno que falten. Poco a poco, empezarÃ¡ a crecer hierba aquÃ­.",
terrFertileFarmland,blocks,Terrain,KgNone,Fertile Farmland,Terre cultivable,Fruchtbares Ackerland,,Tierra de cultivo fÃ©rtil,
terrFertileGrass,blocks,Terrain,KgNone,Fertile Grass,Herbe fertile,Fruchtbares Gras,,Hierba fÃ©rtil,
terrForestGround,blocks,Terrain,KgNone,Forest Ground,Sol de forÃªt,Waldboden,,Superficie forestal,
terrForestGroundDesc,blocks,Terrain,KgNone,Replace missing pieces of terrain in the proper shade of green.,Remplacez les morceaux de terrain manquants par de la verdure.,Ersetze fehlende TerrainstÃ¼cke mit dem richtigen GrÃ¼nton.,,Reemplaza las piezas de terreno que falten con el tono de cÃ©sped correspondiente.,
terrGravel,blocks,Terrain,KgNone,Gravel,Gravier,Kies,,Grava,
terrGravelDesc,blocks,Terrain,KgNone,This is gravel. Like rocks. Only smaller.,"Ceci est du gravier. C'est comme des cailloux, mais plus petit.",Das ist Kies. Wie Steine. Nur kleiner.,,"Esto es grava. Como rocas, pero mÃ¡s pequeÃ±as.",
terrIce,blocks,Terrain,KgNone,Ice,Glace,Eis,,Hielo,
terrOreCoal,blocks,Terrain,KgNone,Coal Ore,Minerai de charbon,Kohlenerz,,Mineral de carbÃ³n,
terrOreCopper,blocks,Terrain,KgNone,Copper Ore,Minerai de cuivre,Kupfererz,,Mineral de cobre,
terrOreDiamond,blocks,Terrain,New,Diamond Deposit,,Diamantenvorkommen,,,
terrOreGold,blocks,Terrain,New,Gold Ore,,Golderz,,,
terrOreGravelPlusCoal,blocks,Terrain,New,Gravel + Coal,,,,,
terrOreGravelPlusIron,blocks,Terrain,New,Gravel + Iron,,,,,
terrOreGravelPlusLead,blocks,Terrain,New,Gravel + Lead,,,,,
terrOreGravelPlusPotassium,blocks,Terrain,New,Gravel + Potassium,,,,,
terrOreIron,blocks,Terrain,KgNone,Iron Ore,Minerai de fer,Eisenerz,,Mineral de hierro,
terrOreLead,blocks,Terrain,KgNone,Lead Ore,Minerai de plomb,Bleierz,,Mineral de plomo,
terrOreOilDeposit,blocks,Terrain,KgNone,Oil Deposit,Gisement de pÃ©trole,Ã–lablagerung,,DepÃ³sito de aceite,
terrOrePotassiumNitrate,blocks,Terrain,KgNone,Potassium Nitrate,Nitrate de potassium,Kaliumnitrat,,Nitrato de potasio,
terrOreSandPlusCoal,blocks,Terrain,New,Sand + Coal,,,,,
terrOreSandPlusIron,blocks,Terrain,New,Sand + Iron,,,,,
terrOreSandPlusLead,blocks,Terrain,New,Sand + Lead,,,,,
terrOreSandPlusOil,blocks,Terrain,New,Sand + Oil,,,,,
terrOreSandPlusPotassium,blocks,Terrain,New,Sand + Potassium,,,,,
terrOreSilver,blocks,Terrain,New,Silver Ore,,Silbererz,,,
terrSand,blocks,Terrain,KgNone,Sand,Sable,Sand,,Arena,
terrSandDesc,blocks,Terrain,KgNone,Like rocks... Only much smaller.,Comme des cailloux... mais beaucoup plus petit.,Wie SteineÂ â€¦ nur viel kleiner.,,Como rocas... Pero mÃ¡s pequeÃ±as.,
terrSandStone,blocks,Terrain,KgNone,Sandstone,GrÃ¨s,Sandstein,,Arenisca,
terrSidewalk,blocks,Terrain,New,Sidewalk (Terrain),,,,,
terrSnow,blocks,Terrain,KgNone,Snow,Neige,Schnee,,Nieve,
terrSnowDesc,blocks,Terrain,GrChanged,Snow is another source of water. Melt it at a campfire if you have some empty cans or jars.,La neige peut Ãªtre une source d'eau. Faites-la fondre au feu de camp si vous avez des conserves ou des bocaux vides.,"Schnee kann an einem Lagerfeuer geschmolzen werden, wenn du ein paar leere Dosen oder GlÃ¤ser hast.",,La nieve es otra fuente de agua. DerrÃ­tela en una fogata si tienes latas o tarros vacÃ­os.,
terrStone,blocks,Terrain,KgNone,Stone,Pierre,Stein,nagh,Piedra,
terrStoneDesc,blocks,Terrain,KgNone,Like rocks. Only bigger.,"C'est comme des cailloux, mais plus gros.",Wie kleine Steine. Nur grÃ¶ÃŸer.,,"Como rocas, pero mÃ¡s grandes.",
terrWaterPOI,blocks,Terrain,KgNone,Water Block (POI),Source d'eau 8,Wasserquelle 8,,Fuente de agua 8,
terrWaterPOIDesc,blocks,Terrain,New,This is the water block that should be used in POI.,,,,,
barbedFence,blocks,Trap,KgNone,Barbed Wire Fence,ClÃ´ture en barbelÃ©,Stacheldrahtzaun,,Alambrada de pÃºas,
barbedFenceDesc,blocks,Trap,EnChanged,"Barbed wire fences made from wood and iron can slow down enemies, making them easier to deal with. Place them by using the secondary action.",,"StacheldrahtzÃ¤une aus Holz und Eisen kÃ¶nnen Gegner verlangsamen, wodurch man einfacher mit ihnen fertig wird. Platziere sie mit der sekundÃ¤ren Aktion.",,,
barbedWireSheet,blocks,Trap,KgNone,Barbed Wire,BarbelÃ©,Stacheldraht,,Cable con pinchos,
barbedWireSheetDesc,blocks,Trap,EnChanged,"Barbed wire made from iron can slow down enemies, making them easier to deal with. Place it by using the secondary action.",,"Stacheldraht aus Eisen kann Gegner verlangsamen, wodurch man einfacher mit ihnen fertig wird. Platziere ihn mit der sekundÃ¤ren Aktion.",,,
mineAirFilter,blocks,Trap,KgNone,Air Filter Land Mine,Mine terrestre avec filtre Ã  air,Luftfiltermine,,Mina terrestre hecha con un filtro de aire,
mineAirFilterDesc,blocks,Trap,KgNone,Place mine and step back carefully. Turns zombies into good zombies!,Placez la mine et reculez prudemment. Elle transforme les zombies en bons zombiesÂ !,Platziere die Mine und tritt vorsichtig zurÃ¼ck. Verwandelt Zombies in gute Zombies!,,Coloca la mina y retrocede con cuidado. Â¡Convierte a los zombis en zombis buenos!,
mineCandyTin,blocks,Trap,KgNone,Tin Land Mine,Mine terrestre en fer-blanc,Bonbondosen-Mine,,Mina terrestre hecha con una lata,
mineCandyTinDesc,blocks,Trap,KgNone,A candy tin land mine. Trick or treat!,Mine construite Ã  partir d'une boÃ®te de bonbons. Des bonbons ou un sortÂ !,Eine Mine bestehend aus einer Bonbondose. SÃ¼ÃŸes oder Saures!,,Una mina terrestre hecha con una lata de caramelos Â¡Truco o trato!,
mineCookingPot,blocks,Trap,New,Cooking Pot Mine,,,,,
mineCookingPotDesc,blocks,Trap,New,Can you smell what this survivor is cooking? It probably isn't healthy.,,,,,
mineHubcap,blocks,Trap,KgNone,Hubcap Land Mine,Mine terrestre en enjoliveurs,Radkappenmine,,Mina terrestre de tapacubos,
mineHubcapDesc,blocks,Trap,KgNone,A hubcap land mine. Place it on the ground and let the fun begin.,Une mine construite Ã  partir d'enjoliveurs. Placez-la au sol et profitez du spectacle.,Eine Mine bestehend aus einer Radkappe. Platziere sie auf dem Boden und der SpaÃŸ kann beginnen.,,Una mina terrestre hecha con un tapacubos. ColÃ³cala en el suelo y... Â¡que empiece la fiesta!,
rScrapIronLogSpike5,blocks,Trap,New,R Iron Log Spike 5,Pique renforcÃ© en rondin et en ferraille 5,VerstÃ¤rkte Alteisenspitze 5,,Pincho 5 de troncos de chatarra de hierro reforzado,
rScrapIronPlateMine,blocks,Trap,KgNone,Pressure Plate Mine,Mine Ã  dÃ©clencheur,Druckplattenmine,,Mina hecha con una placa de presiÃ³n,
rScrapIronPlateMineDesc,blocks,Trap,EnChanged,A primitive pressure plate mine made of iron and gunpowder. Good for hobbling or killing most enemies.,,"Eine primitive Druckplattenmine aus Eisen und SchieÃŸpulver. Gut, um die meisten Gegner zu verstÃ¼mmeln oder tÃ¶ten.",,,
rWoodLogSpike2,blocks,Trap,KgNone,Reinforced Wood Log Spike 2,Pique en rondin de bois renforcÃ© 2,VerstÃ¤rkter spitzer Stamm 2,,Pincho de tronco de madera reforzado 2,
rWoodMetalLogSpike3,blocks,Trap,KgNone,Reinforced Wood Metal Log Spike 3,Pique en rondin de bois et de mÃ©tal renforcÃ© 3,MetallverstÃ¤rkter spitzer Stamm 3,,Pincho de tronco de metal y madera reforzado 3,
scrapIronLogSpike4,blocks,Trap,New,Iron Log Spike,Pique en rondin et en ferraille,Alteisenspitze,,Pincho de troncos de chatarra de hierro,
steelLogSpike6,blocks,Trap,New,Steel Log Spike 6,,Stahlspitze 6,,,
tnt,blocks,Trap,EnChanged,Explosive Charge (Ammo),T.N.T.,Sprengladung (Mun),,Dinamita,
tntDesc,blocks,Trap,EnChanged,"Explosive Charges can be made from paper, plant fibers and gun powder. Place on the ground and ignite it by damaging it.","La T.N.T. peut Ãªtre fabriquÃ©e avec du papier, des fibres vÃ©gÃ©tales et de la poudre Ã  canon. Placez-la sur le sol et allumez-la en l'endommageant.","Sprengladungen werden aus Papier, Pflanzenfasern und SchieÃŸpulver hergestellt. Plaziere sie auf dem Boden und entzÃ¼nde sie indem du sie beschÃ¤digst.",,"La dinamita se puede hacer con papel, fibra vegetal y pÃ³lvora. ColÃ³cala en el suelo y dÃ¡Ã±ala para prenderla.",
trapSpikesDamage1,blocks,Trap,KgNone,Trap Spikes Damage 1,Piques de piÃ¨ge abÃ®mÃ©es 1,Stacheln fÃ¼r Fallen â€“ Schaden 1,,DaÃ±o de trampa de pinchos 1,
trapSpikesDamage2,blocks,Trap,KgNone,Trap Spikes Damage 2,Piques de piÃ¨ge abÃ®mÃ©es 2,Stacheln fÃ¼r Fallen â€“ Schaden 2,,DaÃ±o de trampa de pinchos 2,
trapSpikesDamage3,blocks,Trap,KgNone,Trap Spikes Damage 3,Piques de piÃ¨ge abÃ®mÃ©es 3,Stacheln fÃ¼r Fallen â€“ Schaden 3,,DaÃ±o de trampa de pinchos 3,
trapSpikesDamage4,blocks,Trap,KgNone,Trap Spikes Damage 4,Piques de piÃ¨ge abÃ®mÃ©es 4,Stacheln fÃ¼r Fallen â€“ Schaden 4,,DaÃ±o de trampa de pinchos 4,
trapSpikesDamage5,blocks,Trap,KgNone,Trap Spikes Damage 5,Piques de piÃ¨ge abÃ®mÃ©es 5,Stacheln fÃ¼r Fallen â€“ Schaden 5,,DaÃ±o de trampa de pinchos 5,
